NodeName	Gene	EntrezID
1	SERPINA3(12)	SERPINA3	12
2	ABAT(18)	ABAT	18
3	ABL1(25)	ABL1	25
4	ACADM(34)	ACADM	34
5	ACADVL(37)	ACADVL	37
6	ACAT2(39)	ACAT2	39
7	ACCN1(40)	ACCN1	40
8	ACCN2(41)	ACCN2	41
9	ACHE(43)	ACHE	43
10	ACLY(47)	ACLY	47
11	ACPP(55)	ACPP	55
12	ACTA1(58)	ACTA1	58
13	ACTB(60)	ACTB	60
14	ACTG1(71)	ACTG1	71
15	ACTC(70)	ACTC	70
16	ACTN1(87)	ACTN1	87
17	ACTN2(88)	ACTN2	88
18	ACTN3(89)	ACTN3	89
19	ACTN4(81)	ACTN4	81
20	ACVR1B(91)	ACVR1B	91
21	ACVR2A(92)	ACVR2A	92
22	ACY1(95)	ACY1	95
23	ADAR(103)	ADAR	103
24	ADCY1(107)	ADCY1	107
25	ADCY2(108)	ADCY2	108
26	ADCY5(111)	ADCY5	111
27	ADCYAP1(116)	ADCYAP1	116
28	ADD1(118)	ADD1	118
29	ADD2(119)	ADD2	119
30	ADH1A(124)	ADH1A	124
31	ADH1C(126)	ADH1C	126
32	ADH5(128)	ADH5	128
33	ADH7(131)	ADH7	131
34	ADM(133)	ADM	133
35	ADA(100)	ADA	100
36	ADORA2A(135)	ADORA2A	135
37	PARP1(142)	PARP1	142
38	ADRA1B(147)	ADRA1B	147
39	ADRA1D(146)	ADRA1D	146
40	ABR(29)	ABR	29
41	ADRA2A(150)	ADRA2A	150
42	ADRB2(154)	ADRB2	154
43	ADRB3(155)	ADRB3	155
44	AP2A2(161)	AP2A2	161
45	AP1B1(162)	AP1B1	162
46	ACVR1(90)	ACVR1	90
47	AP1G1(164)	AP1G1	164
48	AGA(175)	AGA	175
49	AGT(183)	AGT	183
50	ADRBK1(156)	ADRBK1	156
51	ADRBK2(157)	ADRBK2	157
52	AHCY(191)	AHCY	191
53	AHR(196)	AHR	196
54	AKT1(207)	AKT1	207
55	AKT2(208)	AKT2	208
56	ALAD(210)	ALAD	210
57	ALCAM(214)	ALCAM	214
58	ABCD1(215)	ABCD1	215
59	ALDH1A1(216)	ALDH1A1	216
60	ALDH2(217)	ALDH2	217
61	ALDH3A1(218)	ALDH3A1	218
62	ABCD2(225)	ABCD2	225
63	ALDOA(226)	ALDOA	226
64	ALDOB(229)	ALDOB	229
65	ALK(238)	ALK	238
66	ALOX5(240)	ALOX5	240
67	ALPPL2(251)	ALPPL2	251
68	ALPP(250)	ALPP	250
69	AMBP(259)	AMBP	259
70	ALB(213)	ALB	213
71	A2M(2)	A2M	2
72	AMD1(262)	AMD1	262
73	AHSG(197)	AHSG	197
74	AMELX(265)	AMELX	265
75	AMH(268)	AMH	268
76	AMPH(273)	AMPH	273
77	BIN1(274)	BIN1	274
78	AP2A1(160)	AP2A1	160
79	ANGPT1(284)	ANGPT1	284
80	ANGPT2(285)	ANGPT2	285
81	APBB1(322)	APBB1	322
82	APC(324)	APC	324
83	APCS(325)	APCS	325
84	AIRE(326)	AIRE	326
85	APEH(327)	APEH	327
86	APEX1(328)	APEX1	328
87	BIRC4(331)	BIRC4	331
88	ACVRL1(94)	ACVRL1	94
89	BIRC5(332)	BIRC5	332
90	APLP2(334)	APLP2	334
91	APBB2(323)	APBB2	323
92	APOF(319)	APOF	319
93	ABCA1(19)	ABCA1	19
94	APOA1(335)	APOA1	335
95	APOA2(336)	APOA2	336
96	APOA4(337)	APOA4	337
97	APOC1(341)	APOC1	341
98	APOE(348)	APOE	348
99	ANXA2(302)	ANXA2	302
100	APBA1(320)	APBA1	320
101	APBA2(321)	APBA2	321
102	APRT(353)	APRT	353
103	FAS(355)	FAS	355
104	APAF1(317)	APAF1	317
105	AQP1(358)	AQP1	358
106	AQP2(359)	AQP2	359
107	AR(367)	AR	367
108	SLC25A4(291)	SLC25A4	291
109	AES(166)	AES	166
110	NR0B1(190)	NR0B1	190
111	ARAF(369)	ARAF	369
112	TRIM23(373)	TRIM23	373
113	ARF1(375)	ARF1	375
114	ARG1(383)	ARG1	383
115	RHOA(387)	RHOA	387
116	RHOC(389)	RHOC	389
117	ARHGAP1(392)	ARHGAP1	392
118	RND3(390)	RND3	390
119	ARHGDIA(396)	ARHGDIA	396
120	ACTL6A(86)	ACTL6A	86
121	RHOG(391)	RHOG	391
122	RHOB(388)	RHOB	388
123	ARHGDIG(398)	ARHGDIG	398
124	ARHGDIB(397)	ARHGDIB	397
125	PHOX2A(401)	PHOX2A	401
126	ARNT(405)	ARNT	405
127	ARR3(407)	ARR3	407
128	AGTR1(185)	AGTR1	185
129	ADRB1(153)	ADRB1	153
130	ARF6(382)	ARF6	382
131	AP2B1(163)	AP2B1	163
132	ARSA(410)	ARSA	410
133	ASCL1(429)	ASCL1	429
134	ASGR1(432)	ASGR1	432
135	ASGR2(433)	ASGR2	433
136	ASL(435)	ASL	435
137	ASNA1(439)	ASNA1	439
138	ASPA(443)	ASPA	443
139	ASS(445)	ASS	445
140	SERPINC1(462)	SERPINC1	462
141	ATF1(466)	ATF1	466
142	ATF3(467)	ATF3	467
143	ATIC(471)	ATIC	471
144	ATM(472)	ATM	472
145	ATOX1(475)	ATOX1	475
146	ATP1A1(476)	ATP1A1	476
147	ATP2A2(488)	ATP2A2	488
148	ATP5A1(498)	ATP5A1	498
149	ATP5B(506)	ATP5B	506
150	ATP5G3(518)	ATP5G3	518
151	ATP6V1A(523)	ATP6V1A	523
152	ATP6V1E1(529)	ATP6V1E1	529
153	ANG(283)	ANG	283
154	ATP7B(540)	ATP7B	540
155	AUH(549)	AUH	549
156	AVP(551)	AVP	551
157	ARRB2(409)	ARRB2	409
158	AXL(558)	AXL	558
159	ADAM10(102)	ADAM10	102
160	AZGP1(563)	AZGP1	563
161	B2M(567)	B2M	567
162	BAI1(575)	BAI1	575
163	BAK1(578)	BAK1	578
164	BARD1(580)	BARD1	580
165	BCAT2(587)	BCAT2	587
166	BCHE(590)	BCHE	590
167	BCKDHA(593)	BCKDHA	593
168	BAX(581)	BAX	581
169	BCL2(596)	BCL2	596
170	BAG1(573)	BAG1	573
171	BAD(572)	BAD	572
172	BCL2L1(598)	BCL2L1	598
173	BCL6(604)	BCL6	604
174	BCR(613)	BCR	613
175	ABL2(27)	ABL2	27
176	BDNF(627)	BDNF	627
177	BFSP1(631)	BFSP1	631
178	APOB(338)	APOB	338
179	APP(351)	APP	351
180	AMBN(258)	AMBN	258
181	CEACAM1(634)	CEACAM1	634
182	BHMT(635)	BHMT	635
183	BCL2L2(599)	BCL2L2	599
184	BCL2A1(597)	BCL2A1	597
185	BID(637)	BID	637
186	BLMH(642)	BLMH	642
187	BLR1(643)	BLR1	643
188	PCGF4(648)	PCGF4	648
189	ADRA1A(148)	ADRA1A	148
190	BMP2(650)	BMP2	650
191	BMP4(652)	BMP4	652
192	BGN(633)	BGN	633
193	ACVR2B(93)	ACVR2B	93
194	BMP8B(656)	BMP8B	656
195	BMP7(655)	BMP7	655
196	BMP5(653)	BMP5	653
197	BMP6(654)	BMP6	654
198	BMPR1A(657)	BMPR1A	657
199	AMHR2(269)	AMHR2	269
200	BMPR1B(658)	BMPR1B	658
201	BMPR2(659)	BMPR2	659
202	BNIP1(662)	BNIP1	662
203	BNIP2(663)	BNIP2	663
204	BNIP3(664)	BNIP3	664
205	BNIP3L(665)	BNIP3L	665
206	CCND1(595)	CCND1	595
207	ACACA(31)	ACACA	31
208	BRCA1(672)	BRCA1	672
209	ATR(545)	ATR	545
210	BRAF(673)	BRAF	673
211	BSG(682)	BSG	682
212	BST1(683)	BST1	683
213	BTK(695)	BTK	695
214	BMX(660)	BMX	660
215	BRCA2(675)	BRCA2	675
216	C1QBP(708)	C1QBP	708
217	C1QA(712)	C1QA	712
218	C1QB(713)	C1QB	713
219	C1R(715)	C1R	715
220	SERPING1(710)	SERPING1	710
221	C1S(716)	C1S	716
222	CFB(629)	CFB	629
223	C3(718)	C3	718
224	C2(717)	C2	717
225	C3AR1(719)	C3AR1	719
226	C4B(721)	C4B	721
227	C5(727)	C5	727
228	C5AR1(728)	C5AR1	728
229	ARRB1(408)	ARRB1	408
230	C8A(731)	C8A	731
231	PTTG1IP(754)	PTTG1IP	754
232	CA3(761)	CA3	761
233	ATP5C1(509)	ATP5C1	509
234	CA12(771)	CA12	771
235	CACNA1B(774)	CACNA1B	774
236	CACNA1E(777)	CACNA1E	777
237	DDR1(780)	DDR1	780
238	CACNA1A(773)	CACNA1A	773
239	CACNA1C(775)	CACNA1C	775
240	CAD(790)	CAD	790
241	CALCA(796)	CALCA	796
242	ATP2B1(490)	ATP2B1	490
243	ADCYAP1R1(117)	ADCYAP1R1	117
244	CALD1(800)	CALD1	800
245	CALCR(799)	CALCR	799
246	CALM1(801)	CALM1	801
247	ADCY8(114)	ADCY8	114
248	ASCL2(430)	ASCL2	430
249	CALR(811)	CALR	811
250	CAMK2A(815)	CAMK2A	815
251	CAMK2B(816)	CAMK2B	816
252	ADCY3(109)	ADCY3	109
253	CAMK2G(818)	CAMK2G	818
254	CAPN3(825)	CAPN3	825
255	CAPN2(824)	CAPN2	824
256	CAPN1(823)	CAPN1	823
257	CAPNS1(826)	CAPNS1	826
258	CASP1(834)	CASP1	834
259	CAST(831)	CAST	831
260	CASP2(835)	CASP2	835
261	CASP3(836)	CASP3	836
262	BIRC3(330)	BIRC3	330
263	BIRC2(329)	BIRC2	329
264	BLM(641)	BLM	641
265	CASP4(837)	CASP4	837
266	CASP5(838)	CASP5	838
267	CASP7(840)	CASP7	840
268	CASP8(841)	CASP8	841
269	CASP6(839)	CASP6	839
270	CASP9(842)	CASP9	842
271	CASP10(843)	CASP10	843
272	CASR(846)	CASR	846
273	CAT(847)	CAT	847
274	CAV1(857)	CAV1	857
275	RUNX1T1(862)	RUNX1T1	862
276	RUNX1(861)	RUNX1	861
277	CBFA2T3(863)	CBFA2T3	863
278	RUNX3(864)	RUNX3	864
279	RUNX2(860)	RUNX2	860
280	CBFB(865)	CBFB	865
281	BLK(640)	BLK	640
282	CBL(867)	CBL	867
283	CBS(875)	CBS	875
284	CCIN(881)	CCIN	881
285	CCBL1(883)	CCBL1	883
286	CCK(885)	CCK	885
287	CCKAR(886)	CCKAR	886
288	CCKBR(887)	CCKBR	887
289	BTG1(694)	BTG1	694
290	AREG(374)	AREG	374
291	CCNB1(891)	CCNB1	891
292	CCNT1(904)	CCNT1	904
293	CANX(821)	CANX	821
294	CD3D(915)	CD3D	915
295	CD3E(916)	CD3E	916
296	CD2(914)	CD2	914
297	CD3Z(919)	CD3Z	919
298	CD4(920)	CD4	920
299	CAMK2D(817)	CAMK2D	817
300	CD5(921)	CD5	921
301	CD8A(925)	CD8A	925
302	CD8B1(926)	CD8B1	926
303	SERPINH1(871)	SERPINH1	871
304	CD9(928)	CD9	928
305	CD19(930)	CD19	930
306	ATP2B4(493)	ATP2B4	493
307	CD28(940)	CD28	940
308	CD80(941)	CD80	941
309	CD86(942)	CD86	942
310	TNFRSF8(943)	TNFRSF8	943
311	ENTPD5(957)	ENTPD5	957
312	MS4A1(931)	MS4A1	931
313	CD40(958)	CD40	958
314	CD40LG(959)	CD40LG	959
315	CD44(960)	CD44	960
316	ANK1(286)	ANK1	286
317	C9(735)	C9	735
318	CD69(969)	CD69	969
319	TNFRSF7(939)	TNFRSF7	939
320	CD74(972)	CD74	972
321	CD1D(912)	CD1D	912
322	CD79A(973)	CD79A	973
323	CD81(975)	CD81	975
324	CDA(978)	CDA	978
325	CCNE1(898)	CCNE1	898
326	CCNA2(890)	CCNA2	890
327	BUB1(699)	BUB1	699
328	CCND3(896)	CCND3	896
329	CDC20(991)	CDC20	991
330	BUB1B(701)	BUB1B	701
331	CDC2(983)	CDC2	983
332	CDC34(997)	CDC34	997
333	CDH1(999)	CDH1	999
334	ARVCF(421)	ARVCF	421
335	CA9(768)	CA9	768
336	CDH3(1001)	CDH3	1001
337	CDH2(1000)	CDH2	1000
338	CDH6(1004)	CDH6	1004
339	CDH7(1005)	CDH7	1005
340	CDH9(1007)	CDH9	1007
341	CDH13(1012)	CDH13	1012
342	CDH12(1010)	CDH12	1010
343	CDC25A(993)	CDC25A	993
344	CCNH(902)	CCNH	902
345	CDC6(990)	CDC6	990
346	CCNC(892)	CCNC	892
347	CCND2(894)	CCND2	894
348	CDK5(1020)	CDK5	1020
349	CCNG1(900)	CCNG1	900
350	CDK6(1021)	CDK6	1021
351	CDK2(1017)	CDK2	1017
352	CDK7(1022)	CDK7	1022
353	CCNT2(905)	CCNT2	905
354	CDKN1A(1026)	CDKN1A	1026
355	CDK4(1019)	CDK4	1019
356	CDK3(1018)	CDK3	1018
357	CDC5L(988)	CDC5L	988
358	CDKN2A(1029)	CDKN2A	1029
359	CDK8(1024)	CDK8	1024
360	APLP1(333)	APLP1	333
361	CDKN3(1033)	CDKN3	1033
362	CDSN(1041)	CDSN	1041
363	CDX2(1045)	CDX2	1045
364	CEBPA(1050)	CEBPA	1050
365	CEBPB(1051)	CEBPB	1051
366	ATF4(468)	ATF4	468
367	CEBPD(1052)	CEBPD	1052
368	CEBPG(1054)	CEBPG	1054
369	CENPB(1059)	CENPB	1059
370	CENPE(1062)	CENPE	1062
371	CENPF(1063)	CENPF	1063
372	CES1(1066)	CES1	1066
373	CETP(1071)	CETP	1071
374	ACTA2(59)	ACTA2	59
375	CTSC(1075)	CTSC	1075
376	CFTR(1080)	CFTR	1080
377	CGA(1081)	CGA	1081
378	RCBTB2(1102)	RCBTB2	1102
379	RCC1(1104)	RCC1	1104
380	CHD3(1107)	CHD3	1107
381	CDC25C(995)	CDC25C	995
382	CDC25B(994)	CDC25B	994
383	SLC25A6(293)	SLC25A6	293
384	CHI3L1(1116)	CHI3L1	1116
385	CHRM2(1129)	CHRM2	1129
386	ADCY6(112)	ADCY6	112
387	CHRNA4(1137)	CHRNA4	1137
388	CHRNA2(1135)	CHRNA2	1135
389	CHRNA5(1138)	CHRNA5	1138
390	CHRNA3(1136)	CHRNA3	1136
391	CHRNA1(1134)	CHRNA1	1134
392	CHUK(1147)	CHUK	1147
393	CKM(1158)	CKM	1158
394	CKB(1152)	CKB	1152
395	SLC25A5(292)	SLC25A5	292
396	CKMT1B(1159)	CKMT1B	1159
397	CKMT2(1160)	CKMT2	1160
398	CBR1(873)	CBR1	873
399	CDKN1B(1027)	CDKN1B	1027
400	CKS1B(1163)	CKS1B	1163
401	CKS2(1164)	CKS2	1164
402	CD22(933)	CD22	933
403	AQP4(361)	AQP4	361
404	AP2M1(1173)	AP2M1	1173
405	AP1S1(1174)	AP1S1	1174
406	SCARB2(950)	SCARB2	950
407	CLCN1(1180)	CLCN1	1180
408	CLCN3(1182)	CLCN3	1182
409	C8B(732)	C8B	732
410	C7(730)	C7	730
411	CLK1(1195)	CLK1	1195
412	CLK2(1196)	CLK2	1196
413	CLTC(1213)	CLTC	1213
414	CLTA(1211)	CLTA	1211
415	CLTB(1212)	CLTB	1212
416	CCR1(1230)	CCR1	1230
417	CCR3(1232)	CCR3	1232
418	AFP(174)	AFP	174
419	CCR2(1231)	CCR2	1231
420	CCR5(1234)	CCR5	1234
421	CCR8(1237)	CCR8	1237
422	ABCA4(24)	ABCA4	24
423	CNGA2(1260)	CNGA2	1260
424	CNTF(1270)	CNTF	1270
425	CNTN1(1272)	CNTN1	1272
426	CD36(948)	CD36	948
427	BMP1(649)	BMP1	649
428	COL2A1(1280)	COL2A1	1280
429	ANXA5(308)	ANXA5	308
430	BMP3(651)	BMP3	651
431	COL4A1(1282)	COL4A1	1282
432	COL4A2(1284)	COL4A2	1284
433	COL1A1(1277)	COL1A1	1277
434	COL8A1(1295)	COL8A1	1295
435	COL10A1(1300)	COL10A1	1300
436	COL12A1(1303)	COL12A1	1303
437	COL13A1(1305)	COL13A1	1305
438	COL17A1(1308)	COL17A1	1308
439	DST(667)	DST	667
440	COL9A1(1297)	COL9A1	1297
441	ARCN1(372)	ARCN1	372
442	SLC31A1(1317)	SLC31A1	1317
443	ATP7A(538)	ATP7A	538
444	CPN1(1369)	CPN1	1369
445	C4A(720)	C4A	720
446	ANXA6(309)	ANXA6	309
447	CR2(1380)	CR2	1380
448	CR1(1378)	CR1	1378
449	CRABP2(1382)	CRABP2	1382
450	ATF2(1386)	ATF2	1386
451	BCL3(602)	BCL3	602
452	CREB1(1385)	CREB1	1385
453	CREBBP(1387)	CREBBP	1387
454	CAMK4(814)	CAMK4	814
455	KLF5(688)	KLF5	688
456	CREM(1390)	CREM	1390
457	CRH(1392)	CRH	1392
458	CRHR2(1395)	CRHR2	1395
459	CRK(1398)	CRK	1398
460	CD34(947)	CD34	947
461	CBLB(868)	CBLB	868
462	CRP(1401)	CRP	1401
463	AGC1(176)	AGC1	176
464	ARNTL(406)	ARNTL	406
465	CRYAA(1409)	CRYAA	1409
466	CRYAB(1410)	CRYAB	1410
467	CRYBA1(1411)	CRYBA1	1411
468	CRYBB1(1414)	CRYBB1	1414
469	CRYBB2(1415)	CRYBB2	1415
470	CRYGC(1420)	CRYGC	1420
471	ZFP36L1(677)	ZFP36L1	677
472	CSF1(1435)	CSF1	1435
473	CSF1R(1436)	CSF1R	1436
474	CSF2(1437)	CSF2	1437
475	CSF2RA(1438)	CSF2RA	1438
476	CSF2RB(1439)	CSF2RB	1439
477	CISH(1154)	CISH	1154
478	CSF3R(1441)	CSF3R	1441
479	CSF3(1440)	CSF3	1440
480	CSK(1445)	CSK	1445
481	CDH5(1003)	CDH5	1003
482	CSN2(1447)	CSN2	1447
483	CHRM3(1131)	CHRM3	1131
484	CSNK1E(1454)	CSNK1E	1454
485	CRY1(1407)	CRY1	1407
486	CSNK2A1(1457)	CSNK2A1	1457
487	CASQ2(845)	CASQ2	845
488	MAPK14(1432)	MAPK14	1432
489	CSN3(1448)	CSN3	1448
490	CSNK2B(1460)	CSNK2B	1460
491	CSNK2A2(1459)	CSNK2A2	1459
492	CHEK1(1111)	CHEK1	1111
493	BTF3(689)	BTF3	689
494	LYST(1130)	LYST	1130
495	HAPLN1(1404)	HAPLN1	1404
496	CSPG2(1462)	CSPG2	1462
497	CDC42(998)	CDC42	998
498	CSRP1(1465)	CSRP1	1465
499	CSTA(1475)	CSTA	1475
500	CSTF1(1477)	CSTF1	1477
501	CSTF2(1478)	CSTF2	1478
502	CTBP1(1487)	CTBP1	1487
503	CTBP2(1488)	CTBP2	1488
504	CTH(1491)	CTH	1491
505	CTLA4(1493)	CTLA4	1493
506	CDH15(1013)	CDH15	1013
507	CSNK1A1(1452)	CSNK1A1	1452
508	CSNK1D(1453)	CSNK1D	1453
509	CTNNA1(1495)	CTNNA1	1495
510	ACP1(52)	ACP1	52
511	CDH8(1006)	CDH8	1006
512	CDH11(1009)	CDH11	1009
513	BCL9(607)	BCL9	607
514	CDH16(1014)	CDH16	1014
515	CTNND1(1500)	CTNND1	1500
516	CTNNB1(1499)	CTNNB1	1499
517	CTNND2(1501)	CTNND2	1501
518	BGLAP(632)	BGLAP	632
519	CTSB(1508)	CTSB	1508
520	CSTB(1476)	CSTB	1476
521	CST3(1471)	CST3	1471
522	CTSE(1510)	CTSE	1510
523	CAMP(820)	CAMP	820
524	CTSL(1514)	CTSL	1514
525	CD7(924)	CD7	924
526	CST5(1473)	CST5	1473
527	CYBA(1535)	CYBA	1535
528	CYC1(1537)	CYC1	1537
529	CYB5A(1528)	CYB5A	1528
530	CYP11A1(1583)	CYP11A1	1583
531	CYP11B1(1584)	CYP11B1	1584
532	CRKL(1399)	CRKL	1399
533	CD14(929)	CD14	929
534	DAF(1604)	DAF	1604
535	DAG1(1605)	DAG1	1605
536	CAV3(859)	CAV3	859
537	ABP1(26)	ABP1	26
538	DAPK1(1612)	DAPK1	1612
539	DAPK3(1613)	DAPK3	1613
540	CENPC1(1060)	CENPC1	1060
541	ATRX(546)	ATRX	546
542	FASLG(356)	FASLG	356
543	DAXX(1616)	DAXX	1616
544	DAZ1(1617)	DAZ1	1617
545	DAZL(1618)	DAZL	1618
546	DBH(1621)	DBH	1621
547	BZRP(706)	BZRP	706
548	ADORA2B(136)	ADORA2B	136
549	COL4A4(1286)	COL4A4	1286
550	COL4A5(1287)	COL4A5	1287
551	COL5A1(1289)	COL5A1	1289
552	COL4A3(1285)	COL4A3	1285
553	COL4A6(1288)	COL4A6	1288
554	COL1A2(1278)	COL1A2	1278
555	DCTD(1635)	DCTD	1635
556	COMT(1312)	COMT	1312
557	AGTR2(186)	AGTR2	186
