default	hclust	degree
1	ABL1	PRKAR2A	YWHAG
2	AKAP3	ESR1	TP53
3	AKT1	PML	EP300
4	APLP2	BRCA1	CREBBP
5	APPL	PTK2	SRC
6	AR	PHB	GRB2
7	ATN1	PIK3R3	SMAD3
8	ATP2B2	APPL	PRKCA
9	ATXN1	ABL1	ESR1
10	BCL10	HRAS	ATXN1
11	BRCA1	IRS2	CSNK2A1
12	BRF1	PIK3CA	MAPK1
13	CASP2	APLP2	EGFR
14	CASP3	RCHY1	AR
15	CASP8	PDGFRB	CASP3
16	CASP9	GSK3B	PIK3R1
17	CBFA2T2	PPARBP	RB1
18	CBFB	CDK6	CTNNB1
19	CBL	RB1	CDC2
20	CCNA1	CDKN1A	JUN
21	CCNA2	CCND1	AKT1
22	CCND1	CTNNB1	YWHAZ
23	CCND2	AR	BRCA1
24	CCND3	TOP2A	LCK
25	CDC2	NCOA6	UBE2I
26	CDC42	SMARCA4	ATN1
27	CDH1	CEBPB	RAC1
28	CDK2	MAPK9	RAF1
29	CDK4	UBB	ABL1
30	CDK5	SMARCB1	SP1
31	CDK6	PRKRA	NR3C1
32	CDK9	MNDA	ZBTB16
33	CDKN1A	E4F1	CBL
34	CDKN1B	STK11	PTK2
35	CEBPB	MAPK8IP3	TBP
36	CEBPE	SMAD3	CDC42
37	CHD3	YWHAZ	MAPK14
38	CHEK1	VIL2	CHD3
39	CHGB	MAPK10	HSPCA
40	CHUK	TFAP2A	COPS6
41	COPS5	YWHAG	SYK
42	COPS6	MAP2K4	CDK2
43	CREBBP	SP1	CASP8
44	CRSP3	RUNX1	HRAS
45	CSNK2A1	MAGI2	DLG1
46	CTCF	CBFA2T2	MAPK8
47	CTNNB1	TEP1	HD
48	DLG1	SMAD5	IRS1
49	DVL2	UBE2I	NFKBIA
50	E2F1	CDH1	GSK3B
51	E4F1	ATN1	YWHAE
52	EFEMP2	PRKCA	HDAC3
53	EGFR	MAPK8	UBB
54	EP300	PIK3R1	CDKN1A
55	ESR1	CDKN1B	TLE1
56	ESR2	EGFR	HMGB1
57	ETS1	CDK5	PDGFRB
58	ETS2	GRB2	DVL2
59	FOS	RYR2	CEBPB
60	FOXA1	NR3C1	CHUK
61	GAB2	YWHAE	PML
62	GATA3	CREBBP	PSEN1
63	GNA13	CDK2	FOS
64	GPS2	NFKBIA	NCOR1
65	GRB2	EFEMP2	CDK5
66	GSK3B	CCNA2	ESR2
67	GTF2H1	CHUK	PPP2CA
68	HD	CDC2	VIL2
69	HDAC3	ESR2	E2F1
70	HIPK2	MST1R	CDK4
71	HIST1H1C	PTPRF	CCND1
72	HIST2H2BE	HSPCA	MDM2
73	HMGB1	SRC	PRKDC
74	HRAS	PAX5	MAPK9
