ID	Gene	Sample	NodeName	neighbor	degree	pvalue	isMutated
184B5-ABL1	184B5-ABL1	ABL1	184B5	ABL1(25)	8	87	0.1206	0
184B5-AKAP3	184B5-AKAP3	AKAP3	184B5	AKAP3(10566)	0	7	1	0
184B5-AKT1	184B5-AKT1	AKT1	184B5	AKT1(207)	12	106	0.0175	0
184B5-APLP2	184B5-APLP2	APLP2	184B5	APLP2(334)	1	9	0.4283	1
184B5-APPL	184B5-APPL	APPL	184B5	APPL(26060)	0	11	1	0
184B5-AR	184B5-AR	AR	184B5	AR(367)	12	128	0.062	0
184B5-ATN1	184B5-ATN1	ATN1	184B5	ATN1(1822)	11	88	0.0136	0
184B5-ATP2B2	184B5-ATP2B2	ATP2B2	184B5	ATP2B2(491)	0	6	1	0
184B5-ATXN1	184B5-ATXN1	ATXN1	184B5	ATXN1(6310)	13	158	0.111	0
184B5-BCL10	184B5-BCL10	BCL10	184B5	BCL10(8915)	1	21	0.7024	0
184B5-BRCA1	184B5-BRCA1	BRCA1	184B5	BRCA1(672)	8	103	0.2276	1
184B5-BRF1	184B5-BRF1	BRF1	184B5	BRF1(2972)	0	10	1	0
184B5-CASP2	184B5-CASP2	CASP2	184B5	CASP2(835)	2	19	0.3037	0
184B5-CASP3	184B5-CASP3	CASP3	184B5	CASP3(836)	7	125	0.5571	0
184B5-CASP8	184B5-CASP8	CASP8	184B5	CASP8(841)	4	66	0.505	0
184B5-CASP9	184B5-CASP9	CASP9	184B5	CASP9(842)	2	35	0.5956	0
184B5-CBFA2T2	184B5-CBFA2T2	CBFA2T2	184B5	CBFA2T2(9139)	0	10	1	0
184B5-CBFB	184B5-CBFB	CBFB	184B5	CBFB(865)	0	5	1	0
184B5-CBL	184B5-CBL	CBL	184B5	CBL(867)	5	80	0.4653	0
184B5-CCNA1	184B5-CCNA1	CCNA1	184B5	CCNA1(8900)	1	22	0.7247	0
184B5-CCNA2	184B5-CCNA2	CCNA2	184B5	CCNA2(890)	2	26	0.4348	0
184B5-CCND1	184B5-CCND1	CCND1	184B5	CCND1(595)	1	39	0.8954	0
184B5-CCND2	184B5-CCND2	CCND2	184B5	CCND2(894)	0	10	1	0
184B5-CCND3	184B5-CCND3	CCND3	184B5	CCND3(896)	0	24	1	0
184B5-CDC2	184B5-CDC2	CDC2	184B5	CDC2(983)	6	114	0.6134	0
184B5-CDC42	184B5-CDC42	CDC42	184B5	CDC42(998)	5	79	0.4473	0
184B5-CDH1	184B5-CDH1	CDH1	184B5	CDH1(999)	1	30	0.8203	0
184B5-CDK2	184B5-CDK2	CDK2	184B5	CDK2(1017)	4	71	0.5684	0
184B5-CDK4	184B5-CDK4	CDK4	184B5	CDK4(1019)	3	40	0.3989	0
184B5-CDK5	184B5-CDK5	CDK5	184B5	CDK5(1020)	2	45	0.734	0
184B5-CDK6	184B5-CDK6	CDK6	184B5	CDK6(1021)	1	17	0.6262	0
184B5-CDK9	184B5-CDK9	CDK9	184B5	CDK9(1025)	2	29	0.4991	0
184B5-CDKN1A	184B5-CDKN1A	CDKN1A	184B5	CDKN1A(1026)	0	54	1	0
